sol_close,last_day_btc_high,last_day_btc_low,last_day_btc_open,last_day_btc_close,last_day_btc_volume,last_day_btc_marketcap
0.776818582977,7119.94706176,6811.07790015,6858.06802459,6971.09159108,35759567632.2851,127716846208.307
0.882506928259,6965.61663772,6668.25976411,6965.61663772,6845.03769683,38619308647.4394,125422221237.296
0.777831565037,6958.55722441,6793.82120931,6843.28177662,6842.42786097,34110434051.8629,125388687977.151
0.661924824696,6928.66436972,6633.40269245,6845.56171696,6642.10989286,32288311030.7598,121731940639.413
0.646650901989,7134.45052778,6555.50427487,6640.45388894,7116.80421777,46783242376.7001,130445413270.0
0.690815875441,7167.18298759,7050.33182989,7116.55260865,7096.18465879,32513423567.4314,130078472088.331
0.660727970818,7269.95653094,7089.24716763,7092.29152293,7257.66485847,32447188385.9262,133053136875.737
0.681096334559,7280.52178187,7167.05456229,7260.92257873,7189.42482356,31311210215.3203,131815853850.003
0.606969175324,7240.29059686,6835.50314462,7186.8737411,6881.95869275,37747113935.8454,126192239912.382
0.538812129578,6934.55187057,6834.44232463,6879.78434985,6880.32347375,32589741510.7266,126175238603.42
0.587659155744,7145.86574462,6867.78168929,6879.44029975,7117.20747869,33249153865.7605,130530916076.973
0.691600915883,7491.78492971,7081.5946281,7121.30605911,7429.72464927,43500782316.0712,136275638030.678
0.627457179792,7574.19602617,7434.18155636,7434.18155636,7550.90102725,34636526285.7972,138512029491.143
0.634242220589,7641.36397705,7521.67241878,7550.48301195,7569.93603405,32941541446.9347,138874072264.263
0.643329301446,7700.59429483,7561.40785333,7570.13893823,7679.86720422,33070154490.749,140903867572.585
0.635506343577,7795.60083451,7679.41895085,7679.41895085,7795.60083451,36162144724.7077,143040988589.571
0.572371895062,7814.52714133,7730.80654225,7796.97044056,7807.05845106,33187959920.9249,143266252261.336
0.661292515173,8871.75372738,7786.04929564,7806.71256355,8801.03776688,60201052202.5403,161522471384.783
0.74584040982,9440.65067326,8533.25593295,8797.67005044,8658.55417975,66964629541.3087,158922133909.094
0.691045421015,9048.02383263,8667.76321655,8672.7819143,8864.76680793,44068389996.9374,162722652380.246
0.728793969447,9007.18780321,8811.36632956,8869.05761887,8988.5962069,40134388683.2271,165012307599.614
0.715876411879,9167.7813443,8830.97125528,8983.61414879,8897.46850985,47101785174.2562,163358189150.984
0.679534571126,8956.90651911,8645.02412633,8895.74487399,8912.65460539,45718796275.5495,163654493632.392
0.667490770432,9062.41456364,8856.82715528,8912.8321603,9003.07017834,43148462663.1671,165332488791.878
0.641837362998,9411.46787039,8966.70598977,9007.44125582,9268.76208066,49371886931.4799,170229620935.298
0.622583598868,9992.66392105,9138.32257195,9261.89505826,9951.5187451,61112700562.079,182787376636.504
0.612977957268,9996.74335304,9767.17307027,9936.16248196,9842.66636785,51780748041.9506,180804859844.221
0.604922121097,9913.86299284,9580.64449235,9840.90638396,9593.89673363,46566121841.1111,176251395672.863
0.604527391264,9595.58062909,8395.10745112,9591.16923131,8756.43114193,63325279336.9553,160884755210.801
0.53703391162,9033.47117613,8374.32297508,8755.5356389,8601.79620238,57119858801.9446,158059235275.589
0.515272785293,8949.89797874,8569.64398804,8610.38621232,8804.47781074,42142717533.1676,161791577300.916
0.538575650335,9317.87855411,8805.38781338,8805.38781338,9269.98770576,45558144023.0156,170352710071.21
0.550531657365,9793.26820869,9255.03484619,9271.32863776,9733.72147137,56426907637.2912,178881641547.089
0.569117610116,9755.82849814,9261.3979997,9734.29077525,9328.19722645,48158802327.3442,171436341789.485
0.559752024505,9564.20498908,9260.69416318,9333.23987276,9377.0140257,36164766407.6309,172340956578.561
0.599120273328,9823.0022878,9349.5460711,9374.92998661,9670.73937122,40084250662.9587,177745404470.085
0.612988807183,9906.03020325,9570.35898532,9675.69498013,9726.5748149,41827139895.6194,178779483463.616
0.652670169702,9836.04752405,9539.62405543,9727.06360375,9729.0379192,39254288954.9774,178831635026.347
0.624454265112,9804.79388786,9447.20154126,9725.32936525,9522.98115678,36546239702.5477,175050963474.872
0.579155667218,9555.24217533,8869.93110855,9522.74008319,9081.76202252,39326160532.4299,166947987863.53
0.608915324064,9232.93609283,9008.63827133,9080.33473763,9182.57751787,29810773699.2271,168807619957.283
0.638875070548,9302.50164919,9118.10885548,9185.06272737,9209.28742769,27727866811.6695,169305492439.588
0.613031410499,9288.40401564,8787.251002,9212.28340427,8790.36800074,32518803299.5833,161610414642.629
0.549053085284,8951.00563809,8719.66836224,8786.10769511,8906.93476142,31288157264.1934,163760453116.409
0.600857275438,8991.9676255,8757.29380384,8909.58607327,8835.05306073,29584186947.0227,162445535235.104
0.573306660293,9203.32051535,8834.15742919,8837.3812128,9181.01794762,32740536902.3266,168814700531.386
0.590984626967,9546.31960175,9148.45714843,9184.94499772,9525.7510947,34367073114.464,175161235290.292
0.57515546338,9573.66681733,9379.33894613,9528.35562913,9439.12439045,32896642044.2639,173575756364.005
0.579415408223,9704.03030928,9366.72941775,9438.91400926,9700.41407169,32722975141.2035,178390129757.676
0.587932797998,9700.34389507,9432.29679512,9700.10569689,9461.05891806,27773290298.5099,173997151929.677
0.570022020054,10199.5649719,9450.89911148,9463.6056622,10167.2681012,35198901068.3888,186993405740.449
0.577495156711,10182.3407084,9460.57137098,10162.9731448,9529.80414872,39137252108.6748,175277218229.261
0.56466943316,9682.85947041,9471.84640611,9533.76049336,9656.71776526,25007459262.1552,177619631125.589
0.586620621665,9887.6106294,9525.24667912,9655.85445253,9800.63659532,25921805071.9826,180276153545.029
